pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m18,,2026-01-01T08:11:21.71,2026-01-01T08:39:41.12
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m19,,2026-01-01T08:10:52.36,2026-01-01T08:39:41.12
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m2,,2026-01-01T08:09:29.31,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m20,,2026-01-01T08:11:08.30,2026-01-01T08:39:41.12
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m3,,2026-01-01T08:09:29.31,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m4,,2026-01-01T08:09:29.31,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m5,,2026-01-01T08:09:29.31,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m6,,2026-01-01T08:09:29.31,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m7,,2026-01-01T08:09:29.31,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m8,,2026-01-01T08:09:29.31,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m15,m9,,2026-01-01T08:09:29.31,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m17,,2026-01-01T08:10:25.02,2026-01-01T08:41:02.36
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m18,,2026-01-01T08:11:21.71,2026-01-01T08:41:54.05
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m19,,2026-01-01T08:10:52.36,2026-01-01T08:41:54.05
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m2,,2026-01-01T08:09:51.04,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m20,,2026-01-01T08:11:08.30,2026-01-01T08:41:54.05
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m3,,2026-01-01T08:09:51.04,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m4,,2026-01-01T08:09:51.04,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m5,,2026-01-01T08:09:51.04,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m6,,2026-01-01T08:09:51.04,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m7,,2026-01-01T08:09:51.04,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m8,,2026-01-01T08:09:51.04,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m16,m9,,2026-01-01T08:09:51.04,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m18,,2026-01-01T08:11:21.71,2026-01-01T08:41:02.36
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m19,,2026-01-01T08:10:52.36,2026-01-01T08:41:02.36
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m2,,2026-01-01T08:10:25.02,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m20,,2026-01-01T08:11:08.30,2026-01-01T08:41:02.36
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m3,,2026-01-01T08:10:25.02,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m4,,2026-01-01T08:10:25.02,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m5,,2026-01-01T08:10:25.02,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m6,,2026-01-01T08:10:25.02,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m7,,2026-01-01T08:10:25.02,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m8,,2026-01-01T08:10:25.02,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m17,m9,,2026-01-01T08:10:25.02,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m19,,2026-01-01T08:11:21.71,2026-01-01T08:43:26.14
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m2,,2026-01-01T08:11:21.71,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m20,,2026-01-01T08:11:21.71,2026-01-01T08:42:08.65
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m3,,2026-01-01T08:11:21.71,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m4,,2026-01-01T08:11:21.71,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m5,,2026-01-01T08:11:21.71,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m6,,2026-01-01T08:11:21.71,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m7,,2026-01-01T08:11:21.71,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m8,,2026-01-01T08:11:21.71,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m18,m9,,2026-01-01T08:11:21.71,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m2,,2026-01-01T08:10:52.36,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m20,,2026-01-01T08:11:08.30,2026-01-01T08:42:08.65
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m3,,2026-01-01T08:10:52.36,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m4,,2026-01-01T08:10:52.36,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m5,,2026-01-01T08:10:52.36,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m6,,2026-01-01T08:10:52.36,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m7,,2026-01-01T08:10:52.36,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m8,,2026-01-01T08:10:52.36,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m19,m9,,2026-01-01T08:10:52.36,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m20,,2026-01-01T08:11:08.30,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m3,,2026-01-01T08:02:06.85,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m4,,2026-01-01T08:01:31.92,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m5,,2026-01-01T08:01:19.67,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m6,,2026-01-01T08:03:37.02,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m7,,2026-01-01T08:02:06.60,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m8,,2026-01-01T08:04:43.79,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m2,m9,,2026-01-01T08:05:37.45,2026-01-01T08:21:41.61
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m3,,2026-01-01T08:11:08.30,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m4,,2026-01-01T08:11:08.30,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m5,,2026-01-01T08:11:08.30,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m6,,2026-01-01T08:11:08.30,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m7,,2026-01-01T08:11:08.30,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m8,,2026-01-01T08:11:08.30,2026-01-01T08:36:03.83
parallel_collaboration,mission,,,,,,,,,,,,,,,m20,m9,,2026-01-01T08:11:08.30,2026-01-01T08:35:43.37
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m4,,2026-01-01T08:02:06.85,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m5,,2026-01-01T08:02:06.85,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m6,,2026-01-01T08:03:37.02,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m7,,2026-01-01T08:02:06.85,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m8,,2026-01-01T08:04:43.79,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m3,m9,,2026-01-01T08:05:37.45,2026-01-01T08:29:23.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m4,m5,,2026-01-01T08:01:31.92,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m4,m6,,2026-01-01T08:03:37.02,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m4,m7,,2026-01-01T08:02:06.60,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m4,m8,,2026-01-01T08:04:43.79,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m4,m9,,2026-01-01T08:05:37.45,2026-01-01T08:28:23.60
parallel_collaboration,mission,,,,,,,,,,,,,,,m5,m6,,2026-01-01T08:03:37.02,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m5,m7,,2026-01-01T08:02:06.60,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m5,m8,,2026-01-01T08:04:43.79,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m5,m9,,2026-01-01T08:05:37.45,2026-01-01T08:30:31.51
parallel_collaboration,mission,,,,,,,,,,,,,,,m6,m7,,2026-01-01T08:03:37.02,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m6,m8,,2026-01-01T08:04:43.79,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m6,m9,,2026-01-01T08:05:37.45,2026-01-01T08:34:28.73
parallel_collaboration,mission,,,,,,,,,,,,,,,m7,m8,,2026-01-01T08:04:43.79,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m7,m9,,2026-01-01T08:05:37.45,2026-01-01T08:32:48.75
parallel_collaboration,mission,,,,,,,,,,,,,,,m8,m9,,2026-01-01T08:05:37.45,2026-01-01T08:35:43.37
parallel_collaboration,segment,,,,,,,,,,,,,,,m10_s1,m10_s2,m10,2026-01-01T08:14:12.44,2026-01-01T08:25:31.00
parallel_collaboration,segment,,,,,,,,,,,,,,,m10_s1,m10_s3,m10,2026-01-01T08:14:12.44,2026-01-01T08:24:32.22
parallel_collaboration,segment,,,,,,,,,,,,,,,m10_s2,m10_s3,m10,2026-01-01T08:13:55.23,2026-01-01T08:24:32.22
parallel_collaboration,segment,,,,,,,,,,,,,,,m11_s1,m11_s2,m11,2026-01-01T08:18:05.01,2026-01-01T08:30:03.50
parallel_collaboration,segment,,,,,,,,,,,,,,,m11_s1,m11_s3,m11,2026-01-01T08:16:54.25,2026-01-01T08:29:35.79
parallel_collaboration,segment,,,,,,,,,,,,,,,m11_s2,m11_s3,m11,2026-01-01T08:18:05.01,2026-01-01T08:29:35.79
parallel_collaboration,segment,,,,,,,,,,,,,,,m12_s1,m12_s2,m12,2026-01-01T08:20:05.73,2026-01-01T08:32:55.52
parallel_collaboration,segment,,,,,,,,,,,,,,,m12_s1,m12_s3,m12,2026-01-01T08:20:05.73,2026-01-01T08:28:56.57
parallel_collaboration,segment,,,,,,,,,,,,,,,m12_s2,m12_s3,m12,2026-01-01T08:19:54.32,2026-01-01T08:28:56.57
parallel_collaboration,segment,,,,,,,,,,,,,,,m13_s1,m13_s2,m13,2026-01-01T08:18:40.27,2026-01-01T08:28:54.13
parallel_collaboration,segment,,,,,,,,,,,,,,,m13_s1,m13_s3,m13,2026-01-01T08:18:40.27,2026-01-01T08:33:03.42
parallel_collaboration,segment,,,,,,,,,,,,,,,m13_s2,m13_s3,m13,2026-01-01T08:17:51.13,2026-01-01T08:28:54.13
parallel_collaboration,segment,,,,,,,,,,,,,,,m14_s1,m14_s2,m14,2026-01-01T08:19:41.06,2026-01-01T08:32:16.38
parallel_collaboration,segment,,,,,,,,,,,,,,,m14_s1,m14_s3,m14,2026-01-01T08:20:43.36,2026-01-01T08:32:16.38
parallel_collaboration,segment,,,,,,,,,,,,,,,m14_s2,m14_s3,m14,2026-01-01T08:20:43.36,2026-01-01T08:35:13.55
parallel_collaboration,segment,,,,,,,,,,,,,,,m15_s1,m15_s2,m15,2026-01-01T08:20:48.86,2026-01-01T08:34:07.15
parallel_collaboration,segment,,,,,,,,,,,,,,,m15_s1,m15_s3,m15,2026-01-01T08:21:51.91,2026-01-01T08:35:35.96
parallel_collaboration,segment,,,,,,,,,,,,,,,m15_s2,m15_s3,m15,2026-01-01T08:21:51.91,2026-01-01T08:34:07.15
parallel_collaboration,segment,,,,,,,,,,,,,,,m16_s1,m16_s2,m16,2026-01-01T08:24:42.22,2026-01-01T08:36:55.82
parallel_collaboration,segment,,,,,,,,,,,,,,,m16_s1,m16_s3,m16,2026-01-01T08:21:48.94,2026-01-01T08:34:25.88
parallel_collaboration,segment,,,,,,,,,,,,,,,m16_s2,m16_s3,m16,2026-01-01T08:24:42.22,2026-01-01T08:34:25.88
parallel_collaboration,segment,,,,,,,,,,,,,,,m17_s1,m17_s2,m17,2026-01-01T08:24:42.00,2026-01-01T08:37:58.97
parallel_collaboration,segment,,,,,,,,,,,,,,,m17_s1,m17_s3,m17,2026-01-01T08:24:30.98,2026-01-01T08:38:36.36
parallel_collaboration,segment,,,,,,,,,,,,,,,m17_s2,m17_s3,m17,2026-01-01T08:24:42.00,2026-01-01T08:37:58.97
parallel_collaboration,segment,,,,,,,,,,,,,,,m18_s1,m18_s2,m18,2026-01-01T08:28:11.16,2026-01-01T08:39:44.47
parallel_collaboration,segment,,,,,,,,,,,,,,,m18_s1,m18_s3,m18,2026-01-01T08:27:21.71,2026-01-01T08:39:44.47
parallel_collaboration,segment,,,,,,,,,,,,,,,m18_s2,m18_s3,m18,2026-01-01T08:28:11.16,2026-01-01T08:40:50.57
parallel_collaboration,segment,,,,,,,,,,,,,,,m19_s1,m19_s2,m19,2026-01-01T08:27:38.00,2026-01-01T08:41:33.07
parallel_collaboration,segment,,,,,,,,,,,,,,,m19_s1,m19_s3,m19,2026-01-01T08:25:12.38,2026-01-01T08:39:56.51
parallel_collaboration,segment,,,,,,,,,,,,,,,m19_s2,m19_s3,m19,2026-01-01T08:27:38.00,2026-01-01T08:39:56.51
parallel_collaboration,segment,,,,,,,,,,,,,,,m1_s1,m1_s2,m1,2026-01-01T08:02:46.25,2026-01-01T08:03:59.99
parallel_collaboration,segment,,,,,,,,,,,,,,,m1_s1,m1_s3,m1,2026-01-01T08:03:12.29,2026-01-01T08:05:27.68
parallel_collaboration,segment,,,,,,,,,,,,,,,m1_s2,m1_s3,m1,2026-01-01T08:03:12.29,2026-01-01T08:03:59.99
parallel_collaboration,segment,,,,,,,,,,,,,,,m20_s1,m20_s2,m20,2026-01-01T08:26:59.86,2026-01-01T08:38:53.90
parallel_collaboration,segment,,,,,,,,,,,,,,,m20_s1,m20_s3,m20,2026-01-01T08:25:22.37,2026-01-01T08:38:44.76
parallel_collaboration,segment,,,,,,,,,,,,,,,m20_s2,m20_s3,m20,2026-01-01T08:26:59.86,2026-01-01T08:38:44.76
parallel_collaboration,segment,,,,,,,,,,,,,,,m2_s1,m2_s2,m2,2026-01-01T08:04:59.28,2026-01-01T08:07:21.93
parallel_collaboration,segment,,,,,,,,,,,,,,,m2_s1,m2_s3,m2,2026-01-01T08:04:59.28,2026-01-01T08:05:54.16
parallel_collaboration,segment,,,,,,,,,,,,,,,m2_s2,m2_s3,m2,2026-01-01T08:04:05.62,2026-01-01T08:05:54.16
parallel_collaboration,segment,,,,,,,,,,,,,,,m3_s1,m3_s2,m3,2026-01-01T08:10:15.41,2026-01-01T08:12:24.11
parallel_collaboration,segment,,,,,,,,,,,,,,,m3_s1,m3_s3,m3,2026-01-01T08:10:15.41,2026-01-01T08:16:03.19
parallel_collaboration,segment,,,,,,,,,,,,,,,m3_s2,m3_s3,m3,2026-01-01T08:08:23.27,2026-01-01T08:12:24.11
parallel_collaboration,segment,,,,,,,,,,,,,,,m4_s1,m4_s2,m4,2026-01-01T08:07:26.17,2026-01-01T08:11:46.84
parallel_collaboration,segment,,,,,,,,,,,,,,,m4_s1,m4_s3,m4,2026-01-01T08:07:03.01,2026-01-01T08:09:35.64
parallel_collaboration,segment,,,,,,,,,,,,,,,m4_s2,m4_s3,m4,2026-01-01T08:07:26.17,2026-01-01T08:09:35.64
parallel_collaboration,segment,,,,,,,,,,,,,,,m5_s1,m5_s2,m5,2026-01-01T08:05:41.89,2026-01-01T08:07:41.71
parallel_collaboration,segment,,,,,,,,,,,,,,,m5_s1,m5_s3,m5,2026-01-01T08:06:58.66,2026-01-01T08:13:58.06
parallel_collaboration,segment,,,,,,,,,,,,,,,m5_s2,m5_s3,m5,2026-01-01T08:06:58.66,2026-01-01T08:07:41.71
parallel_collaboration,segment,,,,,,,,,,,,,,,m6_s1,m6_s2,m6,2026-01-01T08:12:38.50,2026-01-01T08:22:17.61
parallel_collaboration,segment,,,,,,,,,,,,,,,m6_s1,m6_s3,m6,2026-01-01T08:12:22.37,2026-01-01T08:17:47.83
parallel_collaboration,segment,,,,,,,,,,,,,,,m6_s2,m6_s3,m6,2026-01-01T08:12:38.50,2026-01-01T08:17:47.83
parallel_collaboration,segment,,,,,,,,,,,,,,,m7_s1,m7_s2,m7,2026-01-01T08:09:01.94,2026-01-01T08:14:19.07
parallel_collaboration,segment,,,,,,,,,,,,,,,m7_s1,m7_s3,m7,2026-01-01T08:11:29.36,2026-01-01T08:19:58.95
parallel_collaboration,segment,,,,,,,,,,,,,,,m7_s2,m7_s3,m7,2026-01-01T08:11:29.36,2026-01-01T08:14:19.07
parallel_collaboration,segment,,,,,,,,,,,,,,,m8_s1,m8_s2,m8,2026-01-01T08:14:57.07,2026-01-01T08:26:14.03
parallel_collaboration,segment,,,,,,,,,,,,,,,m8_s1,m8_s3,m8,2026-01-01T08:14:57.07,2026-01-01T08:22:21.74
parallel_collaboration,segment,,,,,,,,,,,,,,,m8_s2,m8_s3,m8,2026-01-01T08:13:02.55,2026-01-01T08:22:21.74
parallel_collaboration,segment,,,,,,,,,,,,,,,m9_s1,m9_s2,m9,2026-01-01T08:15:12.85,2026-01-01T08:26:56.60
parallel_collaboration,segment,,,,,,,,,,,,,,,m9_s1,m9_s3,m9,2026-01-01T08:15:51.54,2026-01-01T08:30:54.81
parallel_collaboration,segment,,,,,,,,,,,,,,,m9_s2,m9_s3,m9,2026-01-01T08:15:51.54,2026-01-01T08:26:56.60
